#options: 1080x1080 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11848 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:13.44 aq:4.90 tex:990623 mv:102234 misc:343 imb:4624 pmb:0 smb:0 d:- ref:;
in:41 out:43 type:b dur:2 cpbdur:2 q:16.41 aq:11.46 tex:243999 mv:24081 misc:2056 imb:246 pmb:3981 smb:397 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:16.39 aq:11.47 tex:262040 mv:26726 misc:1730 imb:291 pmb:4033 smb:300 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:16.35 aq:8.63 tex:835245 mv:32317 misc:462 imb:2037 pmb:2581 smb:6 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:16.37 aq:9.98 tex:472510 mv:32807 misc:835 imb:447 pmb:4106 smb:71 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:16.37 aq:11.36 tex:248068 mv:24658 misc:1898 imb:253 pmb:4014 smb:357 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:16.36 aq:11.38 tex:271239 mv:25929 misc:2000 imb:294 pmb:3946 smb:384 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:16.38 aq:8.37 tex:801163 mv:29787 misc:602 imb:1454 pmb:3144 smb:26 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:16.37 aq:9.84 tex:437377 mv:27365 misc:938 imb:340 pmb:4189 smb:95 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:16.36 aq:11.26 tex:253426 mv:24576 misc:2006 imb:221 pmb:4014 smb:389 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:16.37 aq:11.19 tex:210644 mv:20801 misc:2363 imb:128 pmb:3966 smb:530 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:16.33 aq:8.94 tex:764568 mv:31069 misc:595 imb:1470 pmb:3117 smb:37 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:16.35 aq:10.10 tex:413368 mv:33144 misc:976 imb:386 pmb:4124 smb:114 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:16.37 aq:11.22 tex:216615 mv:21821 misc:2372 imb:145 pmb:3968 smb:511 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:16.34 aq:11.23 tex:243777 mv:27140 misc:1907 imb:230 pmb:4005 smb:389 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:16.27 aq:8.42 tex:883854 mv:35063 misc:459 imb:2947 pmb:1672 smb:5 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:16.30 aq:9.42 tex:511469 mv:37508 misc:647 imb:615 pmb:3974 smb:35 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:16.31 aq:11.11 tex:258120 mv:27567 misc:1665 imb:242 pmb:4099 smb:283 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:16.29 aq:11.04 tex:270109 mv:23916 misc:2127 imb:240 pmb:3961 smb:423 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:16.32 aq:8.57 tex:811661 mv:33204 misc:487 imb:1816 pmb:2806 smb:2 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:16.30 aq:9.39 tex:447765 mv:31368 misc:835 imb:369 pmb:4184 smb:71 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:16.29 aq:10.95 tex:223980 mv:22398 misc:1958 imb:182 pmb:4083 smb:359 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:16.31 aq:10.92 tex:221850 mv:23669 misc:1945 imb:196 pmb:4077 smb:351 d:- ref:0 ;
